# BUSCO version is: 5.0.0 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2020-08-05, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	CM042830.1	8617310	8744967	+	17202.2	8824	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	CM042833.1	13509492	13634118	+	9250.6	5822	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	CM042813.1	12227384	12330421	+	25637.7	16062	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	CM042815.1	2243687	2437055	-	10550.0	7242	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	CM042823.1	9546066	9730816	-	13736.8	8390	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	CM042815.1	13906458	14021180	+	8481.1	4350	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Duplicated	WUWR02000066.1	1875	100498	-	6935.3	3805	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
11at7088	Duplicated	CM042822.1	6169017	6293995	+	8060.2	4160	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	CM042808.1	20339790	20385906	-	7890.0	3991	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	CM042822.1	12247196	12289368	+	7459.6	4389	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	CM042812.1	14040746	14078755	+	7074.8	3246	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	CM042822.1	6641734	6655081	+	7160.5	3495	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Complete	CM042807.1	19597654	19673357	+	6802.4	3423	https://www.orthodb.org/v10?query=26at7088	dynein heavy chain 7, axonemal
27at7088	Complete	CM042833.1	26115175	26191461	+	6154.2	3409	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	CM042807.1	17164676	17194022	-	7018.1	4030	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	CM042830.1	5323231	5369534	+	6685.2	4001	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	CM042807.1	8036383	8093326	+	6126.5	3150	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	CM042807.1	23653160	23718912	+	6457.1	3583	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	CM042810.1	9427107	9444222	+	6578.3	3718	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
37at7088	Complete	CM042833.1	757114	848734	-	5317.8	3016	https://www.orthodb.org/v10?query=37at7088	laminin subunit alpha
38at7088	Complete	CM042830.1	1034156	1062668	+	3063.5	2056	https://www.orthodb.org/v10?query=38at7088	apolipophorins isoform X1
41at7088	Duplicated	WUWR02000183.1	62119	119733	-	4287.6	2496	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
41at7088	Duplicated	CM042815.1	11871218	11945912	-	4825.7	2841	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
43at7088	Complete	CM042812.1	18237157	18296669	+	6485.1	3765	https://www.orthodb.org/v10?query=43at7088	histone-lysine N-methyltransferase 2C-like
46at7088	Complete	CM042815.1	19129807	19211733	-	4707.6	2403	https://www.orthodb.org/v10?query=46at7088	protein bark beetle isoform X1
47at7088	Complete	CM042818.1	21471517	21552660	+	4903.8	2823	https://www.orthodb.org/v10?query=47at7088	uncharacterized protein LOC106111021
48at7088	Complete	CM042824.1	13600999	13673396	-	4836.7	2524	https://www.orthodb.org/v10?query=48at7088	dmX-like protein 2 isoform X1
49at7088	Complete	CM042813.1	3191847	3279009	+	4083.8	2952	https://www.orthodb.org/v10?query=49at7088	hemocytin
50at7088	Complete	CM042816.1	12696571	12741472	+	4922.1	2301	https://www.orthodb.org/v10?query=50at7088	teneurin-3 isoform X1
51at7088	Complete	CM042815.1	3449565	3480819	-	4242.6	2418	https://www.orthodb.org/v10?query=51at7088	protein dachsous
52at7088	Complete	CM042809.1	11947295	12002963	+	5098.3	2741	https://www.orthodb.org/v10?query=52at7088	protein unc-80 homolog
