# BUSCO version is: 5.0.0 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2020-08-05, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	HG992172.1	8288721	8435864	+	16813.9	9078	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	HG992149.1	16156657	16281583	+	9224.2	5908	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	HG992152.1	11537939	11653675	-	25157.1	16258	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	HG992155.1	1737927	1971084	-	10608.4	6657	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	HG992171.1	3111858	3306714	-	13796.6	8606	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	HG992155.1	12080323	12209820	+	8448.1	4351	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	HG992165.1	5666833	5784192	+	8480.4	4214	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	HG992148.1	5367752	5404173	+	7738.3	3907	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	HG992165.1	10997064	11050401	+	7847.1	4556	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	HG992154.1	12658046	12714661	-	7005.3	3240	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	HG992165.1	6102449	6114827	+	7160.0	3497	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Complete	HG992151.1	17242791	17315899	+	6732.4	3415	https://www.orthodb.org/v10?query=26at7088	dynein heavy chain 7, axonemal
27at7088	Complete	HG992149.1	13019052	13087942	+	6885.8	3538	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	HG992151.1	15403587	15437926	-	6937.4	4040	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	HG992172.1	4783772	4823731	+	6595.4	4069	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
