# BUSCO version is: 5.0.0 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2020-08-05, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	CM026234.1	3726848	3870610	-	17000.8	8470	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	CM026258.1	11594374	11676673	+	9206.5	4502	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	JACVES010000650.1	2	49997	-	16485.9	11609	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	CM026255.1	15719070	15795840	-	8442.3	5703	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	CM026235.1	7504743	7676212	+	14066.6	8448	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Duplicated	JACVES010001928.1	1318	12026	+	3702.4	1836	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
6at7088	Duplicated	CM026255.1	7949808	7968677	+	4007.2	2048	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
6at7088	Duplicated	CM026255.1	8012039	8021077	-	4223.2	2163	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	CM026247.1	4358793	4447379	+	7872.9	4146	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	CM026256.1	13705024	13739497	-	7858.3	3927	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	CM026247.1	7932641	7961429	+	7968.1	4488	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	CM026251.1	13521084	13537190	+	6908.6	3246	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	CM026247.1	4673909	4686336	+	7227.1	3495	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Complete	CM026254.1	4470128	4524238	-	7128.0	3490	https://www.orthodb.org/v10?query=26at7088	dynein heavy chain 7, axonemal
27at7088	Complete	CM026258.1	12588764	12621933	+	7017.3	3559	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	CM026254.1	5791785	5815257	+	5638.8	3258	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	CM026234.1	6471505	6508282	-	6673.2	3948	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	CM026254.1	11384890	11408926	-	6345.8	3113	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	CM026254.1	1363371	1404532	-	6739.3	3540	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	CM026237.1	5830925	5845664	-	4154.9	2640	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
37at7088	Complete	CM026258.1	17284676	17363048	+	4582.4	2631	https://www.orthodb.org/v10?query=37at7088	laminin subunit alpha
38at7088	Complete	CM026234.1	9310535	9335333	-	3107.3	2051	https://www.orthodb.org/v10?query=38at7088	apolipophorins isoform X1
41at7088	Complete	CM026255.1	6568339	6594381	-	5412.0	2841	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
43at7088	Complete	CM026251.1	14542736	14579508	-	7491.9	4128	https://www.orthodb.org/v10?query=43at7088	histone-lysine N-methyltransferase 2C-like
46at7088	Complete	CM026255.1	2836306	2877031	-	5133.0	2573	https://www.orthodb.org/v10?query=46at7088	protein bark beetle isoform X1
47at7088	Complete	CM026259.1	12896525	12945108	+	4903.8	2825	https://www.orthodb.org/v10?query=47at7088	uncharacterized protein LOC106111021
48at7088	Complete	CM026239.1	8686942	8720946	-	5117.8	2586	https://www.orthodb.org/v10?query=48at7088	dmX-like protein 2 isoform X1
49at7088	Complete	CM026248.1	893460	955154	-	4108.4	2997	https://www.orthodb.org/v10?query=49at7088	hemocytin
50at7088	Complete	CM026253.1	7525088	7569844	-	5149.0	2368	https://www.orthodb.org/v10?query=50at7088	teneurin-3 isoform X1
51at7088	Complete	CM026255.1	14836358	14868143	+	4327.0	2461	https://www.orthodb.org/v10?query=51at7088	protein dachsous
52at7088	Complete	CM026252.1	3746015	3774032	-	5163.9	2726	https://www.orthodb.org/v10?query=52at7088	protein unc-80 homolog
54at7088	Complete	CM026253.1	2039509	2056121	+	5207.9	2427	https://www.orthodb.org/v10?query=54at7088	teneurin-m isoform X1
56at7088	Complete	CM026251.1	2491691	2529597	-	4992.3	2704	https://www.orthodb.org/v10?query=56at7088	vacuolar protein sorting-associated protein 13A isoform X2
57at7088	Complete	CM026254.1	8128192	8142442	+	4694.3	2330	https://www.orthodb.org/v10?query=57at7088	uncharacterized protein LOC106133612
59at7088	Complete	CM026247.1	7027735	7059064	+	5172.7	4254	https://www.orthodb.org/v10?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	CM026253.1	14502008	14529906	+	5491.4	3307	https://www.orthodb.org/v10?query=60at7088	fat-like cadherin-related tumor suppressor homolog
63at7088	Complete	CM026250.1	12888942	12925153	+	4529.7	2806	https://www.orthodb.org/v10?query=63at7088	vacuolar protein sorting-associated protein 13A-like
64at7088	Complete	CM026248.1	7769183	7788416	-	4099.5	2007	https://www.orthodb.org/v10?query=64at7088	LOW QUALITY PROTEIN: carbamoyl-phosphate synthase large chain, chloroplastic
65at7088	Complete	CM026238.1	2433266	2532394	-	3652.7	1866	https://www.orthodb.org/v10?query=65at7088	neurobeachin
66at7088	Complete	CM026245.1	13720715	13739993	+	4028.9	1869	https://www.orthodb.org/v10?query=66at7088	Pre-mRNA-processing-splicing factor 8
68at7088	Complete	CM026258.1	959822	1194159	+	4904.7	2450	https://www.orthodb.org/v10?query=68at7088	protein furry isoform X1
69at7088	Complete	CM026241.1	4008634	4020604	-	4160.7	2135	https://www.orthodb.org/v10?query=69at7088	serine/threonine-protein kinase mTOR-like
70at7088	Complete	CM026253.1	4728496	4739692	+	3665.5	2362	https://www.orthodb.org/v10?query=70at7088	cubilin
72at7088	Complete	CM026259.1	8983573	9050281	-	4407.4	2503	https://www.orthodb.org/v10?query=72at7088	filamin-A
74at7088	Complete	CM026246.1	8405929	8497695	+	4885.4	2342	https://www.orthodb.org/v10?query=74at7088	zinc finger homeobox protein 3
78at7088	Complete	CM026244.1	2262560	2310410	-	5447.7	3467	https://www.orthodb.org/v10?query=78at7088	Survivin-1
83at7088	Complete	CM026234.1	8026864	8069000	+	4269.1	2162	https://www.orthodb.org/v10?query=83at7088	Inositol 1,4,5-trisphosphate receptor
84at7088	Complete	CM026244.1	13117594	13140610	+	4267.0	2311	https://www.orthodb.org/v10?query=84at7088	ubiquitin carboxyl-terminal hydrolase 34
86at7088	Complete	CM026243.1	6061591	6080828	+	3469.6	1982	https://www.orthodb.org/v10?query=86at7088	serine/threonine-protein kinase ATR-like
88at7088	Complete	CM026254.1	9293692	9319220	-	5766.1	3129	https://www.orthodb.org/v10?query=88at7088	uncharacterized protein LOC101743552
96at7088	Complete	CM026258.1	14143761	14197298	-	3691.7	1897	https://www.orthodb.org/v10?query=96at7088	chondroitin sulfate proteoglycan 4
101at7088	Complete	CM026258.1	11011773	11026215	+	2703.8	1492	https://www.orthodb.org/v10?query=101at7088	E3 ubiquitin-protein ligase MYCBP2 isoform X1
103at7088	Complete	CM026239.1	8888900	8944705	-	4006.0	2114	https://www.orthodb.org/v10?query=103at7088	protein unc-13 homolog A isoform X1
105at7088	Complete	CM026234.1	6442336	6467310	+	6372.5	4247	https://www.orthodb.org/v10?query=105at7088	uncharacterized protein LOC106123073
106at7088	Complete	CM026243.1	4342798	4354792	+	4417.6	2386	https://www.orthodb.org/v10?query=106at7088	small subunit processome component 20 homolog
112at7088	Complete	CM026259.1	9429973	9456081	+	4058.5	2088	https://www.orthodb.org/v10?query=112at7088	Ubiquitin carboxyl-terminal hydrolase
113at7088	Complete	CM026258.1	12379438	12572629	-	4326.3	2337	https://www.orthodb.org/v10?query=113at7088	kalirin
116at7088	Complete	CM026254.1	11806507	11817208	+	2722.7	1497	https://www.orthodb.org/v10?query=116at7088	myosin-VIIa-like
122at7088	Complete	CM026240.1	6888929	6933434	-	2892.8	1540	https://www.orthodb.org/v10?query=122at7088	tetratricopeptide repeat protein 28
123at7088	Complete	CM026244.1	12032756	12086246	+	3248.0	1825	https://www.orthodb.org/v10?query=123at7088	DNA polymerase epsilon catalytic subunit A
126at7088	Complete	CM026240.1	5489165	5519549	+	3633.4	1804	https://www.orthodb.org/v10?query=126at7088	phosphatidylinositol 4-kinase alpha isoform X1
127at7088	Complete	CM026239.1	641061	683975	-	3816.3	2312	https://www.orthodb.org/v10?query=127at7088	uncharacterized protein LOC106104714
128at7088	Complete	CM026248.1	14770818	14815493	-	5238.7	3194	https://www.orthodb.org/v10?query=128at7088	Vacuolar protein sorting-associated protein 13D
133at7088	Complete	CM026243.1	184069	228002	-	1966.0	1900	https://www.orthodb.org/v10?query=133at7088	uncharacterized protein LOC106140978
136at7088	Complete	CM026254.1	5366039	5402637	+	3644.3	1971	https://www.orthodb.org/v10?query=136at7088	piezo-type mechanosensitive ion channel component isoform X1
137at7088	Complete	CM026250.1	7887637	7904037	+	3325.6	1910	https://www.orthodb.org/v10?query=137at7088	proto-oncogene tyrosine-protein kinase ROS
138at7088	Complete	CM026243.1	11109101	11120318	+	2819.7	2005	https://www.orthodb.org/v10?query=138at7088	protein abnormal spindle
139at7088	Complete	CM026242.1	769549	791168	-	3184.2	1855	https://www.orthodb.org/v10?query=139at7088	protein pecanex-like
140at7088	Complete	CM026246.1	4237860	4394643	+	3469.8	1931	https://www.orthodb.org/v10?query=140at7088	supervillin-like isoform X1
145at7088	Complete	CM026239.1	8591419	8614778	+	3264.2	1597	https://www.orthodb.org/v10?query=145at7088	Sodium channel protein
148at7088	Complete	CM026241.1	7273765	7314435	+	2988.3	1681	https://www.orthodb.org/v10?query=148at7088	uncharacterized protein LOC111354061
155at7088	Duplicated	JACVES010002736.1	2074	13827	+	3499.9	2055	https://www.orthodb.org/v10?query=155at7088	Adenomatous polyposis coli protein
155at7088	Duplicated	CM026252.1	13587134	13604661	-	3880.8	2215	https://www.orthodb.org/v10?query=155at7088	Adenomatous polyposis coli protein
158at7088	Complete	CM026247.1	9141146	9271777	+	2360.0	1322	https://www.orthodb.org/v10?query=158at7088	Sodium channel protein
159at7088	Complete	CM026244.1	12875715	12888642	+	3673.7	1977	https://www.orthodb.org/v10?query=159at7088	zinc finger FYVE domain-containing protein 26 homolog
160at7088	Complete	CM026257.1	12739804	12818935	+	3168.3	1797	https://www.orthodb.org/v10?query=160at7088	protein still life, isoform SIF type 1
163at7088	Complete	CM026253.1	10384588	10397875	+	2807.0	1602	https://www.orthodb.org/v10?query=163at7088	LOW QUALITY PROTEIN: low-density lipoprotein receptor-related protein 4-like
173at7088	Complete	CM026240.1	4955922	4986604	+	3042.4	1443	https://www.orthodb.org/v10?query=173at7088	clathrin heavy chain
177at7088	Complete	CM026243.1	5046957	5106219	+	3566.0	1838	https://www.orthodb.org/v10?query=177at7088	voltage-dependent T-type calcium channel subunit alpha-1G-like
179at7088	Complete	CM026255.1	2923975	2970074	-	2863.1	1420	https://www.orthodb.org/v10?query=179at7088	uncharacterized protein LOC101741868
183at7088	Complete	CM026255.1	8609093	8650020	-	3328.9	1818	https://www.orthodb.org/v10?query=183at7088	LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase HECTD1
184at7088	Complete	CM026252.1	4700594	4760285	-	3021.7	1699	https://www.orthodb.org/v10?query=184at7088	cadherin-89D
186at7088	Duplicated	JACVES010002344.1	3856	18404	+	2425.4	1365	https://www.orthodb.org/v10?query=186at7088	nucleosome-remodeling factor subunit NURF301
186at7088	Duplicated	JACVES010000673.1	4493	17717	+	2611.1	1518	https://www.orthodb.org/v10?query=186at7088	nucleosome-remodeling factor subunit NURF301
190at7088	Complete	CM026234.1	2264497	2320016	+	2752.6	1377	https://www.orthodb.org/v10?query=190at7088	NACHT and WD repeat domain-containing protein 2
193at7088	Complete	CM026246.1	13438420	13445352	+	3403.3	1536	https://www.orthodb.org/v10?query=193at7088	brefeldin A-inhibited guanine nucleotide-exchange protein 1
196at7088	Complete	CM026255.1	3711058	3738197	-	3048.1	1581	https://www.orthodb.org/v10?query=196at7088	cadherin-23
200at7088	Complete	CM026237.1	1424514	1470362	+	3089.9	1932	https://www.orthodb.org/v10?query=200at7088	protein unc-79 homolog
