# BUSCO version is: 5.0.0 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2020-08-05, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	CM041055.1	4481453	4590772	-	15463.6	8108	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	CM041058.1	19907770	20033305	-	9409.3	5966	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	CM041038.1	10013408	10117803	-	25712.6	16150	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	CM041040.1	19516636	19712691	+	10592.2	6788	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	CM041048.1	2778658	2946861	-	14044.7	8365	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	CM041040.1	9817026	9923415	-	8479.7	4349	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	CM041047.1	5115824	5204482	+	7832.1	4090	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	CM041033.1	4743984	4785140	+	8061.3	3952	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	CM041047.1	10061299	10100058	+	7524.1	4419	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	CM041037.1	10949057	10981968	+	7062.6	3246	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Duplicated	CM041047.1	5490993	5502116	+	6999.7	3348	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
25at7088	Duplicated	CM041047.1	5474449	5487809	+	7166.2	3495	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Complete	CM041032.1	14863781	14931019	+	6796.2	3430	https://www.orthodb.org/v10?query=26at7088	dynein heavy chain 7, axonemal
27at7088	Complete	CM041058.1	8810633	8860738	-	6539.6	3508	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	CM041032.1	13158258	13191903	-	7406.9	4133	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
