# BUSCO version is: 5.0.0 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2020-08-05, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	LR999994.1	6231621	6352967	+	17014.4	8790	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	LR999970.1	8313057	8426959	+	9227.3	5954	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	LR999976.1	7789506	7893634	+	25528.9	16272	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	LR999975.1	1348068	1518777	-	10661.0	7899	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	LR999993.1	8108308	8265722	+	13658.3	8483	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	LR999975.1	8787123	8895142	+	8509.5	4349	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	LR999988.1	9155530	9243293	-	8187.0	4151	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	LR999972.1	13202379	13242616	-	8118.8	3984	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	LR999988.1	5350554	5378630	-	7391.6	4390	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	LR999979.1	9042642	9074617	-	7059.7	3246	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	LR999988.1	8893853	8926836	-	7141.1	3491	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Complete	LR999974.1	4117698	4169854	-	6792.4	3427	https://www.orthodb.org/v10?query=26at7088	dynein heavy chain 7, axonemal
27at7088	Complete	LR999970.1	15942188	15977603	+	6721.4	3464	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	LR999974.1	5507934	5535592	+	6872.4	3948	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	LR999994.1	3719193	3753219	+	6729.9	3914	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	LR999974.1	11167425	11197465	-	6491.5	3252	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	LR999974.1	1204356	1243122	-	6756.0	3544	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	LR999992.1	5452054	5466383	-	6065.2	3461	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
37at7088	Complete	LR999970.1	2034808	2117725	-	5468.4	3067	https://www.orthodb.org/v10?query=37at7088	laminin subunit alpha
38at7088	Complete	LR999994.1	654406	681148	+	3029.8	2070	https://www.orthodb.org/v10?query=38at7088	apolipophorins isoform X1
41at7088	Complete	LR999975.1	7804836	7839414	-	5804.3	2952	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
43at7088	Complete	LR999979.1	11496842	11533191	+	7520.8	4127	https://www.orthodb.org/v10?query=43at7088	histone-lysine N-methyltransferase 2C-like
46at7088	Complete	LR999975.1	11622869	11668765	-	4935.8	2524	https://www.orthodb.org/v10?query=46at7088	protein bark beetle isoform X1
47at7088	Complete	LR999973.1	13696200	13754618	+	4884.8	2817	https://www.orthodb.org/v10?query=47at7088	uncharacterized protein LOC106111021
48at7088	Complete	LR999986.1	4922705	4961855	+	5067.9	2621	https://www.orthodb.org/v10?query=48at7088	dmX-like protein 2 isoform X1
49at7088	Complete	LR999976.1	2234060	2294494	+	4118.0	2895	https://www.orthodb.org/v10?query=49at7088	hemocytin
50at7088	Complete	LR999977.1	7744675	7783610	-	5177.1	2350	https://www.orthodb.org/v10?query=50at7088	teneurin-3 isoform X1
51at7088	Complete	LR999975.1	2082111	2125493	-	4351.0	2465	https://www.orthodb.org/v10?query=51at7088	protein dachsous
52at7088	Complete	LR999982.1	8038170	8069166	+	5286.5	2752	https://www.orthodb.org/v10?query=52at7088	protein unc-80 homolog
54at7088	Complete	LR999977.1	1540114	1557747	+	5331.6	2433	https://www.orthodb.org/v10?query=54at7088	teneurin-m isoform X1
56at7088	Complete	LR999979.1	5246962	5296246	+	4870.6	2695	https://www.orthodb.org/v10?query=56at7088	vacuolar protein sorting-associated protein 13A isoform X2
57at7088	Complete	LR999974.1	7752108	7766321	+	4633.0	2334	https://www.orthodb.org/v10?query=57at7088	uncharacterized protein LOC106133612
59at7088	Complete	LR999988.1	6364024	6397916	-	4863.0	4064	https://www.orthodb.org/v10?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	LR999977.1	15773578	15797707	+	5479.4	3340	https://www.orthodb.org/v10?query=60at7088	fat-like cadherin-related tumor suppressor homolog
63at7088	Complete	LR999981.1	910856	954027	+	4713.5	2774	https://www.orthodb.org/v10?query=63at7088	vacuolar protein sorting-associated protein 13A-like
64at7088	Complete	LR999976.1	8225606	8249666	-	4070.1	2007	https://www.orthodb.org/v10?query=64at7088	LOW QUALITY PROTEIN: carbamoyl-phosphate synthase large chain, chloroplastic
65at7088	Complete	LR999990.1	647661	943787	+	4828.7	2565	https://www.orthodb.org/v10?query=65at7088	neurobeachin
66at7088	Complete	LR999985.1	10519286	10541878	+	3960.4	1837	https://www.orthodb.org/v10?query=66at7088	Pre-mRNA-processing-splicing factor 8
68at7088	Complete	LR999970.1	21911707	22132564	-	4784.4	2434	https://www.orthodb.org/v10?query=68at7088	protein furry isoform X1
69at7088	Complete	LR999987.1	9726279	9737384	+	3763.0	2020	https://www.orthodb.org/v10?query=69at7088	serine/threonine-protein kinase mTOR-like
70at7088	Complete	LR999977.1	3603146	3614326	+	4435.5	2969	https://www.orthodb.org/v10?query=70at7088	cubilin
72at7088	Complete	LR999973.1	9382513	9454955	-	4474.6	2399	https://www.orthodb.org/v10?query=72at7088	filamin-A
74at7088	Complete	LR999983.1	5984807	6080386	-	4883.3	2336	https://www.orthodb.org/v10?query=74at7088	zinc finger homeobox protein 3
78at7088	Complete	LR999989.1	10023480	10079871	-	5447.7	3499	https://www.orthodb.org/v10?query=78at7088	Survivin-1
83at7088	Complete	LR999994.1	1941930	1992321	-	4341.7	2174	https://www.orthodb.org/v10?query=83at7088	Inositol 1,4,5-trisphosphate receptor
84at7088	Complete	LR999989.1	7603113	7631450	+	4729.4	2424	https://www.orthodb.org/v10?query=84at7088	ubiquitin carboxyl-terminal hydrolase 34
86at7088	Complete	LR999980.1	6055106	6072013	+	3275.7	1962	https://www.orthodb.org/v10?query=86at7088	serine/threonine-protein kinase ATR-like
88at7088	Complete	LR999974.1	8903701	8930079	-	5748.9	3123	https://www.orthodb.org/v10?query=88at7088	uncharacterized protein LOC101743552
96at7088	Complete	LR999970.1	12196642	12223871	+	3936.4	1966	https://www.orthodb.org/v10?query=96at7088	chondroitin sulfate proteoglycan 4
101at7088	Complete	LR999970.1	16445122	16572249	-	3148.2	1873	https://www.orthodb.org/v10?query=101at7088	E3 ubiquitin-protein ligase MYCBP2 isoform X1
103at7088	Complete	LR999986.1	4457264	4512613	-	4279.3	2194	https://www.orthodb.org/v10?query=103at7088	protein unc-13 homolog A isoform X1
105at7088	Complete	LR999994.1	3760379	3785470	-	6398.7	4142	https://www.orthodb.org/v10?query=105at7088	uncharacterized protein LOC106123073
106at7088	Complete	LR999980.1	4197845	4211105	+	4438.0	2416	https://www.orthodb.org/v10?query=106at7088	small subunit processome component 20 homolog
